Station Number,Station Name,Province,Status,Latitude,Longitude,Year From,Year To,Gross Drainage Area (km2),Effective Drainage Area (km2),Regulation,Data Type,Operation Schedule,Sediment,RHBN,Real-Time,Datum Name,Publishing Office,Operating Agency,Contributed,Elevation
01AA002,DAAQUAM (RIVIERE) EN AVAL DE LA RIVIERE SHIDGEL,QC,Discontinued,46.5575,-70.08111,1967,1977,598,,N,Flow,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,347.3139038086
01AA004,GAUTHIER (RIVIERE) A SON EMBOUCHURE,QC,Discontinued,46.80083,-70.13806,1975,1981,16.6,,N,Level,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,401
01AB001,BUCKLEY (RIVIERE) EN AVAL DU LAC JOHNNY,QC,Discontinued,46.87917,-70.0875,1973,1981,6.94,,N,Level,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,411
01AD001,MADAWASKA (RIVIÈRE) À 6 KM EN AVAL DU BARRAGE TÉMISCOUATA,QC,Discontinued,47.54833,-68.63639,1918,2005,2690,,R,Flow,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,143.6677703857
01AD002,SAINT JOHN RIVER AT FORT KENT,NB,Active,47.25806,-68.59583,1926,2018,14700,,N,Flow,Continuous,N,Y,N,INTERNATIONAL BOUNDARY COMMISSION DATUM,DARTMOUTH,UNITED STATES GEOLOGICAL SURVEY,Y,158.8942108154
01AD003,ST. FRANCIS RIVER AT OUTLET OF GLASIER LAKE,NB,Active,47.20661,-68.95694,1951,2018,1350,,N,Flow and Level,Continuous,N,Y,Y,ASSUMED DATUM,DARTMOUTH,,N,178.7158050537
01AD004,SAINT JOHN RIVER AT EDMUNDSTON,NB,Active,47.36078,-68.32489,1967,2018,15500,,N,Flow and Level,Continuous,N,N,Y,GEODETIC SURVEY OF CANADA DATUM,DARTMOUTH,,N,134.7246398926
01AD005,MADAWASKA (RIVIERE) AU RESERVOIR TEMISCOUATA,QC,Discontinued,47.57056,-68.64306,1930,1974,2590,,R,Level,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,QUEBEC HYDRO-ELECTRIC COMMISSION,Y,141
01AD007,PERCHE (RUISSEAU A LA) DE LA RIVIERE MADAWSKA,QC,Discontinued,47.55611,-68.64222,1930,1945,95.9,,N,Flow,Miscellaneous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,143.7400054932
01AD008,LONG (LAC) PRES DE LES ETROITS,QC,Discontinued,47.39083,-68.89833,1968,1974,108,,N,Level,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,201.5079498291
01AD009,CABANO (RIVIERE) AU LAC LONG,QC,Discontinued,47.46444,-69.00194,1973,1982,172,,N,Level,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,214.7042541504
01AD010,CABANO (RIVIERE) EN AVAL DU LAC TEMISCOUATA,QC,Discontinued,47.63028,-68.89778,1973,1975,291,,N,Flow,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,167
01AD011,LAC SAINT-FRANCOIS,QC,Discontinued,47.73556,-69.28806,1968,1972,55.4,,N,Level,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,269
